Country Name,Year,Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)",Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Dentists (headcount) (OECD),"Dentists (per 100,000 population) (OECD)",For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospital beds (number) (OECD),Hospital beds (number) (OECD),"Hospital beds (per 1,000 population) (OECD)","Hospital beds (per 1,000 population) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)",Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population aged 65+) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),Nurses (headcount) (OECD),"Nurses (per 1,000 population) (OECD)",Physicians (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),"Psychiatrists (per 1,000 population) (OECD)",Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),Surgical specialists (headcount) (OECD),"Surgical specialists (per 1,000 population) (OECD)"
Germany,2016,498718,606,201425,245,193358,235,269158,327,96201,117,1318,1601,1607,1951,663941,663941,806,806,56,3100,3764,0,0,0,0,0,,,989,1201,,,494137,6,105026,128,22502,27,793,963,95835,116
Germany,2017,497182,602,200889,243,191111,231,269448,326,97339,118,1329,1608,1592,1926,661448,661448,8,8,58,3084,3731,0,0,0,0,0,,,970,1174,,,503864,61,106176,128,22632,27,785,95,97707,118
Greece,2015,38999,36,15185,14,881,8,29879,276,13301,123,155,1432,172,159,45945,45945,425,425,,283,2615,6570,29,29,6570,61,,,4,37,,,63866,59,7911,73,2364,22,124,1146,14594,135
Greece,2016,38470,357,14853,138,899,8,29521,274,13225,123,151,1401,173,1605,45273,45273,42,42,,280,2598,6414,28,28,6414,6,,,5,46,,,65972,612,7624,71,2468,23,124,1151,15036,14
Greece,2017,38747,36,14878,138,894,8,29495,274,13261,123,147,1367,174,1618,45267,45267,421,421,,277,2576,6181,266,266,6181,57,,,5,46,,,65240,607,7915,74,2738,25,125,1162,14149,132
Hungary,2015,41883,426,,,,,,,9128,93,,,,,68843,68843,699,699,5,168,1707,12196,691,691,12196,124,5633,6114,,,110671,1124,54336,552,8601,87,,,,,,
Hungary,2016,41998,428,,,,,,,9514,97,,,,,68713,68713,7,7,5,168,1712,11980,667,667,11980,122,5787,6069,,,113219,1154,55806,569,8520,87,,,,,,
Hungary,2017,41803,427,,,,,,,9780,1,,,,,68702,68702,702,702,51,165,1686,11952,654,654,11952,122,5922,6257,,,115464,118,55603,568,8516,87,1426,15,,,6633,68
Iceland,2015,867,262,0,0,0,0,1032,312,401,121,0,0,8,2418,1032,1032,312,312,196,8,2418,102,229,229,102,31,509,12324,0,0,,,2466,745,145,44,76,23,8,2418,235,71
Iceland,2016,877,261,0,0,0,0,1051,313,404,12,0,0,8,2385,1051,1051,313,313,2,8,2385,113,245,245,113,34,521,12928,0,0,9793,2919,2487,741,145,43,86,26,8,2385,267,8
Iceland,2017,862,251,0,0,0,0,1052,306,416,121,0,0,8,233,1052,1052,306,306,198,8,233,132,278,278,132,38,519,12752,0,0,10052,2927,2583,752,130,38,81,24,8,233,259,75
Iceland,2018,826,237,0,0,0,0,1014,291,421,121,0,0,8,2296,1014,1014,291,291,21,8,2296,125,255,255,125,36,529,,0,0,10296,2955,2696,774,129,37,83,24,8,2296,258,74
India,2015,,,,,,,,,,,,,,,754724,754724,58,58,,,,,,,,,,,,,,,,,,,,,,,,
India,2016,,,,,,,,,,,,,,,634879,634879,48,48,,,,,,,,,,,,,,,,,,,,,,,,
India,2017,,,,,,,,,,,,,,,710761,710761,53,53,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2015,,,,,,,,,,,,,,,249255,249255,98,98,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2016,,,,,,,,,,,,,,,256426,256426,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,2017,,,,,,,,,,,,,,,271902,271902,104,104,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,2015,12931,275,,,,,,,2828,6,,,,,13730,13730,292,292,148,,,640,106,106,640,14,18122,2765,,,65203,1387,20481,436,1629,35,762,16,,,1975,42
Ireland,2016,13255,279,,,,,,,2949,62,19,4,56,1178,14131,14131,297,297,147,86,1808,709,114,114,709,15,18155,28438,,,67559,1421,21801,458,1630,34,837,18,,,2167,46
Ireland,2017,13297,277,,,,,,,3113,65,19,395,56,1165,14217,14217,296,296,151,86,1789,741,115,115,741,15,18051,29199,,,70953,1476,22733,473,1631,34,869,18,,,2229,46
Ireland,2018,,,,,,,,,3217,67,,,,,,,,,,,,,,,,,,,,,,,23306,482,,,806,17,,,2270,47
Israel,2015,18830,225,2859,34,4699,56,17797,212,10491,125,23,274,44,525,25355,25355,303,303,102,84,1002,4142,45,45,4142,49,2556,143,24,286,59853,714,35206,42,3508,42,1399,17,37,442,4954,59
Israel,2016,18958,222,2899,34,4724,55,17894,209,10840,127,23,269,44,515,25517,25517,299,299,104,84,983,4206,439,439,4206,49,2618,1443,24,281,61529,72,36210,424,3567,42,1398,16,37,433,5076,59
Israel,2017,19212,22,3441,39,5006,57,17891,205,11305,13,23,264,45,516,26338,26338,302,302,106,85,976,4732,474,474,4732,54,2691,1465,25,287,63681,731,37401,429,3579,41,1420,16,37,425,5280,61
Israel,2018,19389,219,3247,37,5249,59,18009,203,11632,131,22,248,45,507,26505,26505,299,299,1,85,958,4722,457,457,4722,53,2768,,26,293,65775,741,38765,437,3591,4,,,37,417,,
Italy,2015,160085,264,55325,91,7527,12,131213,216,59758,98,624,1027,949,1563,194065,194065,32,32,,1115,1836,9144,69,69,9144,15,19634,4042,34,56,428401,705,388177,639,5671,9,10815,18,457,753,57214,94
Italy,2016,158874,262,55827,92,7406,12,129082,213,60190,99,608,1003,928,1531,192315,192315,317,317,,1090,1798,8717,65,65,8717,14,20039,4233,33,54,433283,715,391883,646,5545,9,10519,17,449,741,59830,99
Italy,2017,158891,262,56425,93,7640,13,128483,212,61471,102,600,991,898,1483,192548,192548,318,318,,1063,1756,8526,63,63,8526,14,20311,4433,32,53,444968,735,396316,655,5562,9,10532,17,431,712,60467,1
