Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guatemala,GTM,361810500,1805677836.93431,5948553459.3899,6174185213.17611,6693770270.58643,7269204343.62926,7330866098.16639,7745916506.07283,9152627961.3824,11765104230.8297,12583121641.7733,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guinea,GIN,..,167593505.228716,301523167.014617,947127105.969621,762910589.181624,853868946.455884,983956002.310061,654251935.757249,803901252.908194,942834196.860617,1224990168.34101,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Guyana,GUY,28679759.2863951,304956640.973324,782063529.783998,801777696.093639,864028135.128365,783621040.872284,667925088.815999,531887027.917001,580981472.737257,565363504.401139,518509369.454311,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Haiti,HTI,10167737.8619596,182507938.09891,1893092124.23191,1882129273.27336,2165695373.398,2518080372.79561,2034929862.34238,1977646797.27919,2174226509.26468,2410456438.53652,2370915011.76722,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Honduras,HND,46574226.5723919,1318911702.08956,2700863284.65879,2783394984.65284,2531827548.36205,3008371798.16259,3458318423.93301,3754254626.25896,3813545536.14649,4708097401.41206,4769082161.53781,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Hong Kong SAR, China",HKG,24655780000,107560388150,..,285398502220.272,317362272179.561,311209660700.802,328516955803.693,358772789814.908,386293451174.891,431441967070.678,424619925347.188,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Hungary,HUN,1184510086.63983,11217315165.5179,44988182851.216,48831918088.5214,44670620404.4239,46508013997.58,42019881301.2031,33124288325.6273,25824253667.337,28002680652.4484,31366581856.0416,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Iceland,ISL,454982426.128523,405074266.016599,5788562800.11708,8548042323.47084,4191506843.5824,4237652258.59372,4177067541.46937,5040573412.30604,7225621330.32653,6566175919.51031,6321213331.79507,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,India,IND,5637446363.83184,41059061574.6633,300480168786.346,298739463090.872,300425517446.546,298092478740.581,325081035127.891,353319061013.224,361694321972.036,412613792019.924,399167159226.682,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Indonesia,IDN,8656792855.20195,29352929561.4768,96210980584.0428,110136597662.435,112797627833.066,99386826239.0833,111862594561.997,105928847088.719,116369601851.059,130215330382.957,120660974090.95,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Iraq,IRQ,6744700000,6744700000,50622117150.4267,61033121083.648,70327019949.4173,77747258749.8263,66281655807.2322,53992019678.9023,45298562240.8151,49315419400.3988,64719421423.3098,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ireland,IRL,5361690181.89384,5407973929.95672,2113857313.58188,1694805970.72863,1707531869.31488,1635949833.04167,1749390343.43074,2203153449.1223,3589332627.17955,4412516406.92309,5222681912.93715,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Israel,ISR,6598156851.73066,23281206067.5375,70907310771.311,74874110293.4968,75907618700.9338,81785518232.8202,86101256622.4878,90575018408.045,95446290281.5568,113009532488.062,115265900520.851,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Italy,ITA,88595441116.0035,47201146787.795,158478306213.386,169872360984.741,181670318701.146,145724509188.872,142756493254.503,130592432979.515,135133283786.776,151120440050.073,152361936421.553,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Jamaica,JAM,168155250.316541,1053690047.86883,2501094875.87813,2281909630.03741,1996447947.35127,1818363782.17835,2473010904.82091,2913835195.89151,3291468022.15921,3781167558.10295,3532039680.05605,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Japan,JPN,87828344748.001,361639097011.665,1104563760972.07,1295838676317.29,1268085524238.3,1266851401020.24,1260680310062.82,1233097790281.8,1216518779919.68,1264140980383.63,1270467038786.78,..
